nama,ulasan
Anang Setiawan,Tempat bermainnya luas
Diyan,"Letaknya didepan stasiun jombang. Di alun alun ini kalo malem rame banget jajanan berjejer, lagi laper pasti kalap. Kaget sama playgroundnya yang terbilang cukup luas dan bersih, mantap pokoknya!"
Sye Restani,"Asyik main disini. Parkirnya gratis. Ketika Waktu sore banyak anak"" kecil bermain. Ada lapangan yang bersih. Kalau malem bisa buat rebahan sambil menikmati indahnya langit dan pepohonan yang tumbuh disekitar alun"". Dibarat alun"" ada masjid agung."
Eridanus River,Sebelum covid ini tempat banyak oang jualan. Sekarang yg jualan dialihkan. Malah lebih enak sih.. Bisa jalan-jalan ada yang bersepeda. Anak kecil bisa lari-lari dan motor nggak bersliweran. Bagusan seperti ini terus 👍 …
MaSha Mahira Hafsah,"Untuk penataan PKL kurang rapi, bisa direncanakan bikin stan sebelah selatan dgn bangunan semi permanen. Jadi nantinya tidak mengganggu pejalan kaki dgn gelaran tikar. …"
Aronn Christfa,"Luas, bersih"
Edi Susanto,"Adem dan asri enak buat jalan2 bersama kluarga di malam hari.
Hanya pd siang hari mungkin parkir kndraan skitar brt alon2 depan Masjid Agung sbaiknya lbh diatur spy rapi."
Sri Suwanti,"Alun2 Jombang juga bisa d manfaatkan utk piknik yg murah meriah.
Ada playgroundnya yg ank2 pasti suka. Duduk sambil melihat bis dan kereta lewat"
nurrul aris,"Pas buat bersantai buat keluarga baik olah raga pagi , area bermain dan belajar buat si junior, tersedia fasilitas umum berupa masjid jami', stasiun KA Jombang"
juhi haula fadiah,"walaupun siang tetap bisa berkuliner berbagai macam, cocok buat main dengan anak dan keluarga"
Nith Nith,"rapi bersih selalu ada pembangunan di alun"" untuk mempercantik dan memberikan fasilitas.
nyobain jajan di alun"" hargax rata"" 10rban, murah dong😁 …"
wahyu wilujengg,Tempatnya enak untuk santay di sore hari sambi melihat pemandangan dari masjid alun2+ ada burung dara yang bisa diliat. Dan sekarang mulai banyak fasilitas kursi di dekat taman bermain anak.👍👍👍 …
Tulus Wibisono,"Masih bersih, Indah dan nyaman. Dikarenakan masih baru di pugar, dan petugas masih bekerja sesuai prosedur."
Sonny Hersono,Buat anak anak bermain dan olah raga untuk semua usia cocok
Abdul Qodir,"Berkunjung di saat mau sholat Jum'at, ramai sekali banyak penjual jajanan, pentol cilok, ala ala corndog, Sempol, minuman dari teh sampai kopi sasetan, bahkan layangan alias layang layang ada. Waktu mengelilingi alun alun sebelah timur masih proses pembangunan, arena bermain masih tutup, atau bukanya sore dan malam hari? Sayangnya toilet dalam keadaan tertutup."
Atang Triastama,"Alun-alun Jombang merupakan salah satu pusat berkumpulnya masyarakat Jombang.
Tapi sayang penampilan, penataan Alun-alun Jombang ini terkesan seadanya bahkan kelihatan kumuh dibeberapa sudutnya.
Kaki lima yang berjualan memenuhi hampir semua tempat kecuali di area rumput alun-alun ini.
Rumput alun-alun juga tidak terawat, terkesan dibiarkan tumbuh apa adanya.
Taman-taman juga tidak berfungsi menghiasi alun-alun ini karena tertutup pedagang kaki lima. Sampah dimana-mana berserakan.
Lokasi yang strategis dari alun-alun ini menjadi terkesan alun-alun menjadi tempat berkumpulnya nya pedagang kaki lima.
Bangunan toilet yang tidak berfungsi, menara-menara di empat penjuru alun-alun yang mulai tidak terawat. Menambah kumuh alun-alun Jombang ini.
Trotoar. Bahkan nyaris tidak ada karena habis dipenuhi pedagang kaki lima dan parkir kendaraan.
Sungguh sangat miris melihat keadaan Alun-alun Jombang ini."
Hanan Fuad,Alun2 tempat istirahat saat perjalanan ke rumah orangtua.
Judi Suharsono,Suasana rame kalo malam Minggu... Asyik. Semua bisa bersantai. Penjual makanan lengkap dan murah. Anak muda juga nongkrong bahagia...pokok nya joooz
Fera oktavia,Udah nggak tau lagi deh 😭 tempat paling wajib dikunjungi kalo ke jombang.. kebersihannya terjaga poll.. keamanan juga terjamin.. banyak kang parkir diluar.. jadi kendaraan bisa aman ditinggal masuk.. sekarang malah view nya lebih bagus.. …
Vrila,"Alun alun yg bersih, dilengkapi dg taman bermain dg alas rumput sintetis, disekitar taman juga tersedia kursi dan pohon pohon"
Faris Harisona,Cocok utk jalan2 dan santai..
Ayunda Princus,"Rame kalo malem banyak penjual makanan dan mainan anak anak, tempat sampah kurang banyak sehingga masih banyak orang yang membuang sampah sembarangan"
edy susanto,"Taman alun2 masih dalam proses perbaikan, kemungkinan akhir tahun pasti selesai. …"
Dwi Pratikta,"Sangat cocok berkumpul keluarga untuk santai dan bermain main dengan anak"", dulu masih banyak yg jual makanan ditengah"" tapi skarang lebih tertib dan penjualnya sdh pindah ketempat khusus makanan"" . Sangat seru"
i Nafsi,"Penataan alun-alun yang semakin bagus.
Banyak pedagang yang nunggu pembeli sambil duduk di kursi, dagangannya pun didudukkan di kursi. Pengunjung gak kebagian. …"
Wahyudi S.Sos.,"Alun-alun Jombang sekarang bermetamorfosis menjadi lebih bagus, ada wahana permainan anak, ada panggung permanen, bebas dari pedagang keliling dan pengamen yang suka memaksa untuk memberi. Untuk kebutuhan toilet ada di masjid Jami' yang …"
Mochamad Eka Agustiawan,"Tempat yang luas dan banyak sekali pedagang yang berjualan, tapi ada saja masyarakat sehabis nongkrong tidak membuang sampah pada tempatnya"
imroatus solichah,"Tempat lebih bagus, ada area bermain untuk anak2,, lapangan nya sekarang juga bebas dari PKL,, …"
atik hidayatul u,"Bagus tertata rapi,luas bangettt, dan nyaman
Ditambah tidak jauh dari stasiun kereta api, tidak susah cari makan dan masjidnya dekat dg alun² sehingga mudah untuk beribadah. …"
rahardie mardika,"Sangat rapi, bersih, tertata, bersahabat dg anak2.
Apresiasi buat Pemkab Jombang. Good Job.
I Love Jombang 😊❤️ …"
NINDYA wardani,Seneng r mpatnya nyaman buat anak ada play ground juga.....cuma sayang pas datang palyground nya d kunci jadi buat masuk terpaksa lompat pagar....next better ada yg jaga pas jam operasional ..
Lisa Dwiwahyu,Tempat yg nyaman untuk bermain bersama anak dan keluarga terdapat Playground yg sangat besar dan luas sehingga anak bisa bermain dengan leluasa👍 …
Joko Susilo,"tempat untuk publik dan nyaman, dekat stasiun kota dan masjid raya. Area bermain anak cukup luas, lapangan juga cukup terawat."
Sumadi,Tempat yg nyaman adem bersih dan indah
Mutiara Dewi,"Bersih, sejuk, Indah, dan fasilitas untuk bermain anak2 sngt banyakk, kalau mau healing disini bisa bgtt"
Ikhwan Annoer,"sangat nyaman untuk bermain anak..dan istirahat di sore hari...
masjid agung nya juga bersih nyaman
minggu,5 mei 2024..."
Miftahul Ulum Store,"Alun-alun yang ada di depan Pendopo Kabupaten Jombang, sangat cocok digunakan untuk duduk duduk santai bersama keluarga di sini

Kita bisa mengambil foto bersama keluarga dengak latar belakang masjid Agung Baitul Mukminin atau memberi makan burung dara yang ada banyak di tempat ini

Namun, untuk fasilitas di alun-alun Jombang ini terbilang cukup minim, hanya ada wc umum yang ada di sisi selatan. Setiap sore dan malam hari Alun-alun ini dipenuhi oleh para pedagang kaki lima yang menjual makanan, minuman dan aneka souvenir

Semarang ada arena bermain anak2 di sebelah Tenggara Dari Alun2, It is good"
Sa'diyah Anum,"Alhamdulillah rekomended buat jalan jalan sama keluarga, semoga kedepannya bisa bebas parkir yaa!"
Rois Mahad,Tempat yang nyaman untuk bersantai dan berpariwisata. Apalagi yang baru punya momongan ... Enak tuuu... Disini... Monggo berkunjung kesini
mochamad imron,Alun-alun Jombang. Sejak pandemi covid sudah banyak berbenah. Taman asri & tempat bermain anak. Makin bersih & bagus. Pedagang KQ5 juga direlokasi ditempat lain. Lebih tertib & tertata. Semoga membuat warganya makin cinta dg Jombang.
Stefany Kusumardani,Nek malam bagusss polll. Tapi sayang kalau mau jajan jauh tempatnya. Ngga kaya alun alun di kota lain yang deket sama jajanan. Apa mungkin biar bersih aja ya? Duh padahal tempatnya cocok buat hangout sama temen. Semoga pkl bisa lebih deket sama tempat ini ya huhuhu.
Dylia Bee,"Sekarang lebih bagus, kalo pagi banyak burung dara bisa menyenangkan si kecil saat bermain, kalo malam banyak mainan dan hiburan anak2"
Anggy Afza,"Alun2nya luas banget.Tempat bermain anak2 jg luas.Pedagang yg pakek gerobak g boleh masuk dlm area alun2,yg g pakai gerobak boleh masuk.jd tertib,bersih jg.👍🏻👍🏻👍🏻 …"
Avina Kefin,"alun alun skarang lebih nyaman dan tenang , ada wahana permainan untuk anak anak juga.
selain itu tingkat kebersihan juga  sudah meningkat dari pada yang dulu"
Nuril Komariyah,"Playground nya nyaman, bersih
Area alun alun bisa buat olahraga terutama joging, ada banyak tempat duduk di bawah pohon rindang"
wildan prayoga,"Sebuah ruang terbuka hijau di perkotaan kota Jombang yang bisa dijadikan alternatif mengisi waktu liburan, lapangan yang luas dan pasti nya spot2 foto yang dapat memberikan hasil luar biasa bagi temen2,namun jika berkunjung disini harap …"
seventina rajagukguk,Lumayan bagus dan hijau utk anak belajar jalan. Tapi tolonglah bayar parkir jangan naik jadi 5ribu pas ada acara khusus disini. Gak semua orang punya banyak duit.  Sering pagar tempat Playground ditutup jadi banyak orang melompat pagar. …
Ahyang Lee Jim,"tempatnya bagus, fasilitas nya rapi, bagian luar WC kalo malem gelap banget , sebagian fasilitas ada pembatas tali rafia yg bikin pemandangan jadi kurang enak, ++ pengunjung masih banyak yg buang sampah sembarang."
E. Wardatil,"Bersih , parkiran nyaman aman, area playground bersih safety buat anak (tetap dengan pantauan orang tua tentunya) fasumnya tersedia(toilet umum)"
Darno Lamiran,Wisata terbuka untuk rakyat yang telah di renovasi yang ramah untuk anak anak yang berlokasi di depan stasiun kereta api Jombang
ayu widyaningsih,"Kalau kesini buat foto"" sama nemenin anak maen mungkin lebih oke sih, karna perubahan yg skarang lebih wow.. Kalau mau jajan kuliner an bisa k arah Utara di Jombang kuliner.. beli di sana trus d makan deh sambil nongkrong di alun"". Jangan buang sampah sembarangan ya gais 👍🏻 …"
nurul seskowati,"Tempatnya bersih, rapih dan enak buat nongkrong di alun2"
Fika Aulia Rahma,"Luas, rindang, nyaman, banyak orang jualan, cocok buat santai atau bawa anak"
gatot widodo,"Bagus,banyak tempat sampah.. Tp masih bnyak warga yg buang sampah sembarang"
DUkha muslimin,"Sampai saat ini pasca pemugaran sangat2 baik,,layak buat menghabiskan waktu senggang bersama kluarga👍👍👍 …"
Saiful Arif,"Sebenarnya bagus, tertata rapi, cm pengunjung yang kurang kesadaran nya membuang sampah pada tempatnya"
choirotul amalia,"Kurang tertib banyak pengemis yang sangat mengganggu ketika kita sedang makan,"
Nur Aisyah Jamil,"Luas, nyaman, enak untuk bersantai, untuk olahraga jalan kaki keliling alun"" juga enak. Banyak kuliner, tapi herannya kenapa Playground nya di papan keterangan jam operasional 06.00 wib tapi selalu setiap kesana pagarnya dikunciiiii. Jadinya banyak anak dan ortu yang panjat pagar, dan itu bener"" bahaya bangetttt.

Dan anehnya pas ada acara dari TK mana gitu gatau, itu dibuka gerbangnya, disterilkan Playground nya dari pengunjung. Lah kalo gitu apa yang bisa masuk cuma yg booking Playground doang? Ngga kan? Itu fasilitas umum tp kenapa ga sesuai jam operasional nya gerbang dibuka. Malah dikunci terus. Aneh.

Semoga lebih baik lagi kedepannya untuk dibukanya Playground."
Atikah Fatmawati,Semakin ciamik 👍 semoga warga jombang juga bisa ikut menjaga fasilitas biar tetap bagus dan nyaman. …
rizka khoirunnisa,"alun alun yang menyediakan banyak makanan, terutama sate-satean dan jagung bakar yang bikin saya ketagihan tiap kali kesini. Nggak perlu ngrogoh kantong jauh2, disini serba murah. Ada masjid juga, saya sih prefer ngopi di pojokan itu kalo …"
Rina Nadifa,"Ruang Terbuka Hijau, gratis, relatif luas dan bersih. Banyak tempat duduk, tempat sampah jg memadai"
Naufa Ayza,Sore kesana ramai pengunjung. Tempatnya bersih + luas. Syg...Tempat duduk santai yg tersedia terbatas.
rika marini,"Tempat ini menjadi pilihan keluarga utk refreshing dan bermain bersama anak2, ada berbagai macam makanan dan permainan.. bagi yg suka mewarnai ckp byr 5rb atau 10rb.. SDH bisa mewarnai dengan kuas dan cat air dan hasil mewarnai bisa di bawa plg"
putri arista,"Kesini lagi dengan membawa anak usia 17 bulan sangat menyenangkan 😁 bisa main di playground sepuasnya sebelum jam 8 malam nih pastinya, karena diatas jam tersebut sudah ditutup gelap gulita …"
Fenny Jayanti,"Tempat bermain cukup menyenangkan dengan dana minim, dekat dengan masjid jika waktunya sholat bisa langsung ke masjid"
Siti khoiro ummah,"Tempatnya cukup teduh karena ada pohon besar di sekeliling alun² dan ada banyak pula penjual makanan/jajanan disekitarnya, cocok untuk sekedar menikmati semilir angin atau me time bersama keluarga tapi minusnya untuk kebersihan cukup kurang terjaga karena masih ada banyak sampah yang berserakan dimana-mana"
Nur Hidayatillah,"Tambah bagus, warna warni, banyak wahana, pas buat keluarga, parkir luas."
Deddy Mumtaz,"Fasilitas makin lengkap, banyak permainan, pas buat keluarga, parkir luas."
madz,"Tempat nya bersih luas... Ada taman bermain nya
Dekat tepat ibadah dan mck lokasinya pun cukup strategis
Sangat cocok untuk di kunjungi"
tajul arifin,"Alun alun Jombang yang ramah anak, ada play ground  ditutup Jam 21.00 lampu play ground akan mati secara otomatis"
gyovani bernadi,"Sekarang rapi , bersih dan nyaman"
Binti Khoirun Nisa',"Sangat bersih sekali. Dijaga dan dirawat. Kebetulan pas saya kesana petugas sedang memotong pohon, membersihkan area jalan, menyiram tanaman. Sehingga terkesan sangat terawat."
Lukman Hakim,Alun-alun jombang sekarang lebih representatif untuk sarana olahraga dan bersantai. Lebih bersih karena mayoritas pedagang sudah dipindah tempat.
Hafandik,"Taman bermainnya sangat luas. Fasilitasnya sangat banyak buat anak bermain. Anak-anak tidak bosen bermain. Tentang makanan, banyak orang jualan di sekitar."
Brenda Maharani,"Tempatnya strategis, cocok buat jogging dan sekedar nyantai. Tapi masih banyak pedagang yg jualan di trotoar yg agak sedikit ganggu, terlebih kalo ada pengemis yg kadang maksa minta uang nya"
Liliek Qomariyah,Paling enak buat santai bersama keluarga baik weekend atau weekday👍👍🥰🥰 …
Ahmad Syafiudin,"Adem banyak warung warung tenda menyediakan aneka gorengan dan makanan kecil, aneka minuman yang mantap kopi pekat hitam joss"
Mufid Rosyadi,"Merupakan icon kota Jombang.

Tempat yang nyaman untuk hang out bersama keluarga."
sephia aldiariza,"Tempat yang nyaman untuk pergi bersana keluarga..
Apalagi setelah ada pembangunan playground & taman yg diperindah, menambah daya tarik tersendiri 🥰
Namun pembangunan ini masih di sisi bagian kanan (sekitar playground), sedangkan sisi kiri masih berupa rumput saja..
Tidak sabar untuk menantikan sisi lainnya diperindah juga 🥰"
Syarah Rolas Design,"Sekarang sudah bagus dan tertata rapi.
Banyak wahana bermain dan taman-taman.
Sebenernya sudah ada banyak peringatan untuk tidak duduk atau melintas di area taman, juga sudah disediakan banyak tempat duduk bagi pengunjung. Namun sayang sekali banyak pengunjung yang tidak mengindahkan, padahal sudah bagus sekali tempatnya."
Grevia Violetta Mangasih,"Menyenangkan untuk bersantai di sore hari, apalagi awannya yang indah banget, perfect 😁😁 …"
Dea “Dea”,bagus sekali dan bnyak penjual juga... cfd sudah ada lagi... namun tempat bermain anak masih ditutup...
Dita Natalia,"Tempat yang nyaman dijadikan tempat olahraga dan juga piknik, karena memperhitungkan luas dan sarana yang memadai"
Cak Mad All In One,"Sangat ramah anak, mungkin waktu pagi perlu dibuka juga wahana bermain anak nya, supaya lebih nyaman lagi 😊 …"
Yhogi Prayoga,Trmpat yang paling cicok untuk bersantai bersama keluarga saat petang mulai datang. . . Minggu pagi terdapat senam rutin yang diselenggarakan pemkab. . . Ada juga pasar minggu yang menjual berbagai kuliner dan barang barang masa kini. . . Ada juga hiburan untuk buah hati. . . Ikon kota jombang dengan segala keberagamannya
Ainur Rohmah,"Semakin ramai dengan adanya tempat bermain anak-anak, semoga semakin barokah"
Maxyla Brilian Injian Putra,Tempat yang sangat cocok untuk menghabiskan waktu bersama keluarga dan orang-orang tersayang. Merupakan pusat dari banyak event di Kabupaten Jombang. Setiap hari Minggu pagi selalu ramai oleh orang-orang yang mengikuti Car Free Day. …
Rizky Putra,"Halaman yang luas dan berumput, ada parkir, dekat dengan wisata kuliner yang beragam, jual mainan anak juga, didepan masjid agung jombang"
Andi Kusuma,Alun2 yg luar biasa utk d kunjungi bersama kluarga
LES PRIVAT CENDIKIA,Alun2 bersih dan sangat bagus buat spot foto.. ada tempat bermain untuk anak juga.. keren pokoknya.. mampir aja ke alun2 jombang..
Ahmad Zaini,"Bagus. Tempatnya bersih, ada area Playground."
Yohanes Anggawiyana,Tempat paling cocok untuk santai menikmati pagi yg cerah plus udara yg masih segar. Saran aja supaya ditata lebih bagus lagi.
Nova Rahayu Ardianto,"Bersih
Ada taman untuk duduk-duduk
Ada rumah burungnya …"
Mukhlis Vj,"Tempat nya ramah, indah dan terawat, udara yang segar ditengah kota"
M Fajar Aflah,Alon alon jombang melas banget disni banyak pengamen dan pengemis... Mohon dong untuk pemkab jombang perbaiki masyarakatnya  biar tidak ada pengemis dan pengamen di alon2 jombang....
cah bagus,Lumayan buat rest area makananx murah tempat parkir motor banyak cuma pengamen aja perlu dkondisikan..usahakan ada uang receh ya
abidah zulfa,Tempatnya luas dan ada arena bermain untuk anak-anak
Graveryard,"Datang pas sebelum acara 17 Agustus... Bersih, masjid dekat, banyak jajan di kanan kiri"
Taufik Wibawanto,"Tempat yang luas, ada Playground buat anak-anak."
Acil Dwi,Kesini kalau jam 6 sore bagus banget
Nanga Parbat,"Alun2 kota jombang
Bersih berdampingan dg masjid agung Baitul Mukminin
Terdapat areal parkir khusus
Ada taman bermainnya
Lumayan luas kalo menurut saya
Semoga Tetap bersih dan tertata rapi"
Ahmad Taufiq,Tempatnya bersih...arena bermain nyaman cocok untuk refresing keluarga
Gita Nasution,"Bagus sih, tp playground tnyata digembok, ada jamnya 😂😂 dtg jam 5 pagi berharap sepi.. Tibake dikancing gaeeessss …"
Cendol online,"Cukup bersih dan tertib, banyak playground untuk ortu yang punya anak kecil"
Cuwil kundardini kholily,Tempat yang cocok untuk bermain bersama sang buah hati.
Qiila Wa Qoola,"Tempat yang bisa di bilang menjadi icon Jombang.

Serasa enggak afdol deh ke Jombang. Kalau belum berkunjung ke alun-alun Jombang. …"
Galih Indrajaya,Wahana permainan sudah bagus tapi mungkin harusnya ada penjaga atau pengawas beberapa titik karena kalau minggu sekeluarga gamau gantian kalau anaknya tidak capek. Biar tidak dipakai anak lainnya ibu atau mbahnya duduk disampingnya sebelum …
Fahmi Oy,Tempatnya bersih. Tempat bermain anak-anak mungkin perlu ditambah lagi. Tempatnya parkirnya ditertibkan. Orang yang jualan ditata yang bagus..
liana solichah,"Tyap minggu pagi selalu ada senam aerobik dan zumba bersama.  Jadi makin sehat tanpa perlu mahal.  Hbos sejaman senam,  trus hlan halan sekitaran alun alun jomabng buat cari sarapan or cemilan. .  ..mulai dari pecel,  rawon,  cimol, …"
Reza Rizkijkt,"Pratama mandiri ,sangat membantu
apabila ada keperluan renovasi rumah dan interior kantor  ,semangat selalu semoga makin sukses👍👍👍 …"
Dicky Sugik,"Area taman bermain alun-alun sudah bagus,
Mungkin petugas yang keliling kurang..
Beberapa kali penunjung masih suka lewat dan duduk diatas rumput..padahal ada …"
Iqbal Windhi Pratama,"Nampak sangat berbeda pemandangan alun-alun Jombang saat ini. Beberapa ornamen nampak menghiasi tempat itu mulai dari area bermain anak atau playground, area tempat duduk bersantai, hingga hiasan-hiasan bangunan yang unik untuk berswafoto atau selfie."
Gusty Shouma Dien Nabilla,"Sering kesini buat jogging sore. Skrg tempatnya lbh rapi, meskipun masih ada sampah sisa pengunjung di beberapa tempat"
Cantik Vandara,Nyaman tapi mainannya kurang banyak apalagi untuk ratusan anak..yg hanya ada beberapa mainan saja..kadang sampai rebutan dan nunggunya lama banget biar bisa gantian karena yg ngantri banyak
Iis Emawati,Tambah cantik karena ada pembangunan dan taman bermain tpi sayang blum dibuka untuk umum
Sonia Nurlaili,Sekarang setelah direnovasi alun2 bagian selatan semakin bagus. Ada tempat untuk bermain anak anak.
Yanti Mei (Yanti),"Alun² Jombang sekarang makin bagus, ada taman bermain juga. Sayangnya pengunjung taman bermain banyak yang tidak mematuhi peraturan. Misalnya tidak boleh menginjak rumput, mereka tetap saja menginjak. Bahkan ada yang masuk dengan melompat dari pagar pembatas. Semoga kedepannya pengunjung akan lebih mematuhi peraturan yang berlaku"
Haris Muliyawan,Alun alunya sangat luas ....banyak banget burung dara  dan sejuk banget ..namun sayang karena pandemi covid 19 ini jadi akses masuk sebelah barat ditutup dan cuma bisa lewat bagian timur
Arwin biasa,"Alon alon jombang sangat ramah PKL, disini banyak sekali yang menawarkan dagangannya mulai dari makanan hingga mainan anak anak. Kebetulan saya pas sore hari berkunjung ke situ, dan terlihat beberapa PKL yang baru mulai mendirikan tendanya …"
Abdullah Idris,Semoga semakin baik. Perlu penataan agak tak terlihat semrawut  dan perlubpenambahan fasilitas umum agaak semkin nyaman
Nealin Thalia Timur,"Ada playground unuk bermain si kecil, alun alun nya sekarang bersih"
liana solichah,"Tyap minggu pagi selalu ada senam aerobik dan zumba bersama.  Jadi makin sehat tanpa perlu mahal.  Hbos sejaman senam,  trus hlan halan sekitaran alun alun jomabng buat cari sarapan or cemilan. .  ..mulai dari pecel,  rawon,  cimol,  bihlor,  dll.  Ad juga yg sehat sehat serti sald buah,  jus dll.  .. Bisa juga belanja belanja keceh,  banyak yg jualan tas,  baju, sepatu, lengkap deh.  . . Bikin lapar mata dan lapar perut.  . . 😂😂😂"
Dicky Sugik,"Area taman bermain alun-alun sudah bagus,
Mungkin petugas yang keliling kurang..
Beberapa kali penunjung masih suka lewat dan duduk diatas rumput..padahal ada larangan jangan lewat di atas rumput bagian atas
Perlu di perbanyak tempat sampah karna tiap hari libur sampah numpuk penuh..
Speaker toa harusnya banyak dan merata di semua sisi taman... kemaren speaker pengumuman gak begitu terdengar karna bukan speaker toa yang pernah saya temui di taman2 kota"
Arwin biasa,"Alon alon jombang sangat ramah PKL, disini banyak sekali yang menawarkan dagangannya mulai dari makanan hingga mainan anak anak. Kebetulan saya pas sore hari berkunjung ke situ, dan terlihat beberapa PKL yang baru mulai mendirikan tendanya di sisi pinggir alon alon. Bagian tengah tetap ruang terbuka yang dapat digunakan untuk olahraga ato semacamnya. Cuman sayangnya pada saat kesitu, suasananya kurang bersih"
Talitha Rahmania,"pertama kali malam mingguan ke alon alon jombang, suasana begitu meriah, sungguh bermanfaat sekali buat masyarakat ada  aktivitas hiburan dan aktivitas yg lain yg bisa meningkatkan ekonomi masyarakat.. mg segala fasilitas publik ini selalu bertujuan untuk masyarakat. monggo yg mau menikmati suasana alon alon jombang di Malam Minggu.. gass"
wahyu eko,tempat orang2 berkumpul saat waktu senggang bersama kluarga dan anak2 yng mana ada beberapa mainan dan juga orang jualana makann
Heru Anggi,"Alun2 yg sekarang ada tempat bermain untuk anak anak, jd rekomendasi buat ajak keluarga main disini, tempatnya aman dan nyaman juga, yowes gitulah pokok e"
Reiza Hafidz,"Tempat fasilitas umum yang ramah, ada playground buat bermain anak2."
G P M,"Alun-alun kota Jombang yang bagus dan Bersih.

Turun Stasiun Jombang langsung mampir di Alun-alun sambil bawa miniatur Kereta …"
Lea kim,"Sak Jane apik lor tempat fasilitas umum e Yo apik ...sayang e orang yg jualan disitu atau pengunjung e nek buang sampah iku loo sak enak e ae....mbok Yo disiplin Ben lingkungan kita iku bersih ,nyaman lak enak
Kesadaran Riko kurang ....#merasaprihatin"
Erika Kagehiro,"Alun alun Jombang yang semakin berbenah dan semakin bagus tertata rapi dan dengan sarana prasarana lengkap.
Ada semakin banyak spot foto yg bagus apalagi jika malam hari. …"
Azhim Ali,"Fasilitas umum yang perlu ditingkatkan penataan dan kebersihannya.

Beberapa pedagang kaki lima perlu mendapatkan tempat dan difasilitasi. Terutama …"
Avara Gracia,"Tempat yg cocok untuk berolahraga maupun bersantai, dilengkapi dengan jogging trek yg nyaman, terdapat aneka wahana bermain anak, dibeberapa tempat ada kursi2 taman yg bisa dimanfaatkan sambil menikmati suasana"
Andrianna Photo,"Bagus alun2 nya, percis sebrang nya station jombang dan masjid agung."
Channel Taqi,Wahana permainan kurang banyak mengingat pengunjung anak2 juga sangat banyak...
Jusak Hadi,Tempat main anak yg cukup menarik di kota jombang. Bukanya jam 8 pagi tapi sebelum jam 8 sdh bnyak org di dalam (panjat pagar). Saran : bisa ditambah petugas keamanan agar lbh tertib ya
Aang Junaremania (Nanang Junaedi),Sekarang sudah keren. Kids field sekali... Nyaman untuk ortu dan anak-anak.
Ahmad Rikza Muslim,"Tempat hiburan yang murah meriah di hari libur.. banyak makanan, tempat bermain bagi anak-anak"
Afif Yulianto,"Alhamdulillah, sambang anak. Duduk di Alun-alun nunggu sholat jumat di Masjid Agung"
Nur Rochma,"Alun-alun ini berhadapan dengan masjid, stasiun. Di pinggir alun-alun ada banyak penjual makanan dan minuman. Tempatnya lesehan. …"
Darmas Trisanti,"Tempatnya bersih , bersebrangan langsung dengan stasiun jombang jadi cocok yg naik kereta bisa wisata ke alun-alun Jombang , ada arena bermain anak-anak, ada masjid yg cukup besar , lapangannya juga cukup besar ,"
Dhayun Saputris,"Udah lama tidak mengunjungi jombang, perubahan fasilitasnya kerasa banget. Apalagi fasilitas umum yang ramah anak. Yang udah gede gini aja sukak heheh. Maju terus kota santri!!!"
Atik Sulistyo,"Saat kesana disore hari, tempatnya nyaman sekali.. bnyak orng berjualan dan enak buat nongkrong bersama teman atau keluarga. Ada permainan naik speda kecil juga dan dekat masjid"
Samsul Arifin,Disarankan untuk kemari dimalan hari dan jangan untuk tetap ber etika karna bukan milik pribadi
Nia Nf,seru. banyak orang dagang di sisi sisi jalan. deket masjid pula
Yovita A. P Hamid,Tempatnya teduh.. lapangan luas.. bisa utk olahraga dan joging.. serta banyak orng yg jual jajanan
Chaya Ainul,"Pelayanan baik, ramah, tempatnya sejuk, ga bakalan nyesel kalo kesini"
Nur Habib,"2022. Alhamdulillah lebih tertata sekarang, tempat parkir lebih luas dan memadai, masjid juga bersih, Terima Kasih."
Dyra 168 (junkgekh),Tempat nyaman untuk santai
Cut Ranny,"Bagus,bersih wahana permainan anak"" juga banyak,tapi sayang panas banget."
Alvina Wardah,Alun2 ya luaaass puool...ada area bermainnya...dekat masjid juga...dekat stasiun...
Coretan_err Ummu Adzkia,"Masya Alloh..kesini ngantar anak kesayangan,Barakallah"
Mas Dan,"Tempat yang nyaman bagi keluarga.
Tempat tertata saya rasa untuk orang-orang berjualan, Sudah di pisahkan tempat bermain anak dengan makanan."
Anita MCI raishamaritza,"tempatnya nyaman, cocok untuk bersantai bersama keluarga terutama area bermaim anaknya luas"
Pungki Kurniawati,Alun alun Jombang ada wahana permainan buat anak-anak. Tempat nya rindang banyak pohon pohon. Tempat nya strategis Krn di samping stasiun juga
ulum kae,"Tempatnya bersih, rindang. Banyak yang jualan jajan juga jadi ngga khawatir kelaparan. Dekat dengan masjid"
Sumadi.kanwil Sumadi,Kebon rojo adalah tempat trbuka hijau yg dekat alaun2 jombang tempatnya bagus untuk bermain anak2 dan ada juga dokar bagus koq tempatnya
vivin alaila,"Bersih, nyaman buat nongkrong bareng keluarga.
Semoga selalu asri dan sarana selalu terjaga,, good job pemkab jombang 👍 …"
kurnia timur,"Benar2 ""alun-alun"" bukan tanan kota 😁😁. Full rumput, full pedagang kyk pasar malem pokoknya. Tapi seru, anak sy bisa puas berlarian dan bergulung gulung di rumput. …"
Jumiati Jumi,KLO GK hujan mungkin rame
rezky utomo,"kalau ada acara pasti ramai, kemudian jika parkir jangan kaget jika tiba2 naik serta kalau pas malam minggu jangan harap bisa jalan santai karena pasti berjubel"
